username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050160,1.166666667,215.8333333,282.1666667,1.166666667,20.13888889,25.83333333,1.166666667,20.80555556,27.0,0.0,0.0,0.0,3.0,1.0,2.0,0.1,0.566666667,5.152333648,1.0,2.333333333,0.508333333,3.0,0.666666667,0.0,0.0,8.333333333,2.05,3.666666667,0.908333333,5.5,1.95,1.833333333,0.308333333,0.0,0.0,13.83333333,4.0,5.5,1.216666667,19.33333333,5.216666667,9.666666667,2.858333333,0.0,0.0,22.33333333,5.883333333,51.33333333,13.95833333,0.0,0.0,0.0,0.0,0.0,37.0,0,30
Y1050161,0.833333333,93.33333333,148.1666667,0.5,12.91666667,19.33333333,0.166666667,7.166666667,7.166666667,0.0,0.0,0.0,1.0,0.166666667,0.833333333,0.027777778,0.138888889,1.80996962,0.5,0.5,0.083333333,1.0,0.166666667,0.0,0.0,1.0,0.166666667,0.833333333,0.138888889,2.166666667,0.361111111,0.333333333,0.055555556,0.0,0.0,3.166666667,0.527777778,1.166666667,0.194444445,4.333333333,0.722222222,3.5,0.583333333,0.0,0.0,5.333333333,0.888888889,13.16666667,2.194444445,0.0,0.0,0.0,0.0,0.0,52.5,0,40
Y1050162,2.333333333,368.1111111,1070.333333,2.166666667,18.19444445,48.0,2.166666667,86.33333332,229.6666667,0.0,0.0,0.0,9.666666667,7.666666667,2.0,0.657295482,0.176037851,8.22577993,3.666666667,8.666666667,0.729120879,9.5,0.822222222,0.333333333,0.024725275,38.5,3.02936508,67.33333333,6.02905983,77.0,6.866361416,22.83333333,2.03943834,0.333333333,0.024725275,115.5,9.895726496,90.5,8.093223443,206.0,17.98894994,108.8333333,9.689407815,0.333333333,0.024725275,215.6666667,18.82228327,530.8333333,46.5253663,0.0,0.0,0.0,0.0,0.0,44.16666667,0,30
Y1050164,0.5,6.055555555,18.16666667,0.0,0.0,0.0,0.5,0.666666667,2.0,0.0,0.0,0.0,1.0,0.666666667,0.333333333,0.111111111,0.055555556,1.238396272,0.333333333,0.166666667,0.027777778,0.666666667,0.111111111,0.333333333,0.055555556,0.0,0.0,0.0,0.0,0.166666667,0.027777778,0.0,0.0,0.166666667,0.027777778,0.166666667,0.027777778,0.166666667,0.027777778,0.333333333,0.055555556,0.833333333,0.138888889,0.333333333,0.055555556,1.333333333,0.222222222,2.833333333,0.472222222,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Y1050165,0.5,12.41666667,24.16666667,0.0,0.0,0.0,0.333333333,2.833333333,5.666666667,0.0,0.0,0.0,0.5,0.166666667,0.333333333,0.055555556,0.111111111,1.249698802,0.333333333,0.333333333,0.111111111,0.5,0.166666667,0.166666667,0.055555556,0.5,0.166666667,0.166666667,0.055555556,3.666666667,1.222222222,0.166666667,0.055555556,0.0,0.0,4.166666667,1.388888889,0.333333333,0.111111111,4.5,1.5,4.166666667,1.388888889,0.166666667,0.055555556,5.0,1.666666667,13.83333333,4.611111112,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Y1050166,1.166666667,24.83333333,65.66666667,0.5,1.083333333,2.0,0.833333333,2.444444445,5.833333333,0.0,0.0,0.0,0.666666667,0.0,0.666666667,0.0,0.333333333,1.475020089,0.833333333,0.333333333,0.222222222,0.666666667,0.333333333,0.0,0.0,0.666666667,0.222222222,0.166666667,0.166666667,2.0,1.111111111,0.666666667,0.666666667,0.0,0.0,2.666666667,1.333333333,0.833333333,0.833333333,3.5,2.166666667,3.333333333,2.111111111,0.0,0.0,4.166666667,2.5,11.0,6.777777778,0.0,0.0,0.0,0.0,0.0,27.5,0,20
Y1050167,1.166666667,142.0277778,311.0,0.666666667,35.41666667,39.83333333,0.833333333,9.0,13.0,0.0,0.0,0.0,4.0,2.0,2.0,0.27483165,0.22516835,3.213253956,2.333333333,1.333333333,0.16456229,3.5,0.444444445,0.5,0.101851852,0.833333333,0.112373737,0.666666667,0.097222222,3.833333333,0.534511785,0.5,0.0753367,0.166666667,0.041666667,4.666666667,0.646885522,1.333333333,0.214225589,6.0,0.861111111,7.166666667,0.937289562,0.5,0.101851852,10.0,1.361111111,23.66666667,3.261363636,0.666666667,0.5,0.833333333,0.5,1.294117647,47.66666667,0,30
Y1050168,1.0,59.58333333,158.8333333,0.666666667,5.583333333,10.16666667,0.666666667,4.666666667,13.33333333,0.0,0.0,0.0,1.833333333,1.333333333,0.5,0.148148148,0.185185185,3.626316996,1.5,1.0,0.111111111,1.333333333,0.277777778,0.833333333,0.092592593,4.166666667,0.462962963,2.5,0.277777778,1.333333333,0.148148148,1.333333333,0.148148148,0.666666667,0.074074074,5.5,0.611111111,4.5,0.5,10.0,1.111111111,4.0,0.574074074,1.0,0.111111111,11.83333333,1.444444445,26.83333333,3.24074074,0.666666667,0.666666667,0.166666667,0.666666667,1.029411765,11.33333333,0,10
Y1050169,1.166666667,132.1666667,350.8333333,1.0,13.33333333,29.0,1.166666667,19.55555556,52.66666667,0.0,0.0,0.0,4.0,2.0,2.0,0.25,0.25,2.637164382,1.5,2.333333333,0.348484848,3.833333333,0.484848485,0.166666667,0.015151515,20.33333333,2.939393939,7.166666667,0.651515152,15.0,1.363636364,2.666666667,0.242424243,0.0,0.0,35.33333333,4.303030303,9.833333333,0.893939394,45.16666667,5.196969697,21.16666667,2.060606061,0.166666667,0.015151515,49.16666667,5.696969697,115.6666667,12.96969697,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Y1050170,1.333333333,150.3472222,355.1666667,0.833333333,21.83333333,30.16666667,1.0,18.95833333,32.33333333,0.0,0.0,0.0,5.166666667,4.666666667,0.5,0.438492064,0.061507937,3.105629501,2.666666667,2.166666667,0.21031746,5.0,0.486111111,1.0,0.093253968,1.0,0.083333333,2.666666667,0.271825397,17.33333333,1.583333333,3.166666667,0.293650794,0.0,0.0,18.33333333,1.666666667,5.833333333,0.565476191,24.16666667,2.232142857,24.5,2.259920635,1.0,0.093253968,29.33333333,2.732142857,79.0,7.317460317,1.333333333,1.166666667,0.833333333,1.166666667,3.326470588,0.0,0,10
